GPL_CD,GPL_NM,GSS_CD,GSS_NM,GSS_ENTITY_CD,GSS_ENTITY_NM,REGION_CD,REGION_NM,AREALHECT
GGL001,Aberdeen City,S12000033,Aberdeen City,S12,Council Area,S92000003,Scotland,18561.04
GGL002,Aberdeenshire,S12000034,Aberdeenshire,S12,Council Area,S92000003,Scotland,631250.94
GGL003,Angus council,S12000041,Angus,S12,Council Area,S92000003,Scotland,218159.2
GGL004,Antrim And Newtownabbey,N09000001,Antrim and Newtownabbey,N09,Local Government District,N92000002,Northern Ireland,57116.3
GGL005,Ards And North Down,N09000011,Ards and North Down,N09,Local Government District,N92000002,Northern Ireland,56647.32
GGL006,Argyll and Bute Council,S12000035,Argyll and Bute,S12,Council Area,S92000003,Scotland,690728.7
GGL007,Armagh City and Banbridge And Craigavon,N09000002,"Armagh City, Banbridge and Craigavon",N09,Local Government District,N92000002,Northern Ireland,133810.86
GGL008,Bath and North East Somerset,E06000022,Bath and North East Somerset,E06,Unitary Authority,E12000009,South West,34587.86
GGL009,Bedford,E06000055,Bedford,E06,Unitary Authority,E12000006,East of England,47640.82
GGL010,Belfast,N09000003,Belfast,N09,Local Government District,N92000002,Northern Ireland,13771.69
GGL011,Blackburn with Darwen,E06000008,Blackburn with Darwen,E06,Unitary Authority,E12000002,North West,13702.21
GGL012,Blackpool,E06000009,Blackpool,E06,Unitary Authority,E12000002,North West,3487.09
GGL013,Blaenau Gwent,W06000019,Blaenau Gwent,W06,Unitary Authority,W92000004,Wales,10872.79
GGL014,Borough of Halton,E06000006,Halton,E06,Unitary Authority,E12000002,North West,7908.39
GGL015,Bracknell Forest,E06000036,Bracknell Forest,E06,Unitary Authority,E12000008,South East,10938.43
GGL016,Bridgend County Borough,W06000013,Bridgend,W06,Unitary Authority,W92000004,Wales,25078.52
GGL017,Brighton and Hove,E06000043,Brighton and Hove,E06,Unitary Authority,E12000008,South East,8283.31
GGL018,Buckinghamshire,E10000002,Buckinghamshire,E10,County,E12000008,South East,156494.91
GGL019,Caerphilly County Borough,W06000018,Caerphilly,W06,Unitary Authority,W92000004,Wales,27738.79
GGL020,Cambridgeshire,E10000003,Cambridgeshire,E10,County,E12000006,East of England,304623.59
