Country,location,category,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11
AR,Buenos Aires,Grocery & pharmacy,15.475,16.93,11.875,18.973,17.57,18.633,17.609,20.724,21.829,15.95,20.261,-13.403,33.094,31.303,20.938,69.019,24.432,0.885,4.304,26.498,-41.783,-43.455,-51.556,-58.368,-59.469,-45.419,-47.161,-44.25,-40.864,-48.418,-46.397,-54.361,-43.453,-41.82,-39.069,-35.486,-43.929,-38.938,-29.859,-26.229,-28.22,-48.03,-27.809
AR,Buenos Aires,Parks,4.748,0.944,0.66,15.132,19.386,8.359,10.889,15.579,-4.836,23.313,15.357,-28.348,-1.115,-0.354,-49.779,-30.224,-29.403,-48.473,-42.262,-48.322,-85.161,-88.21,-91.529,-91.554,-91.176,-82.581,-84.717,-84.837,-87.726,-90.987,-86.818,-89.749,-83.039,-84.824,-83.257,-86.115,-89.296,-82.389,-80.25,-78.342,-83.442,-88.422,-83.957
AR,Buenos Aires,Residential,1.626,2.961,-0.667,-0.708,-1.354,-0.806,-0.756,1.139,2.953,-0.806,-1.525,2.16,-0.524,0.446,10.908,10.638,9.44,15.781,17.464,17.412,39.26,32.602,30.916,39.2,38.82,35.88,38.136,41.006,32.755,30.611,36.634,38.189,35.168,37.205,39.966,32.161,30.036,35.062,34.629,33.582,36.79,43.36,31.835
AR,Buenos Aires,Retail & recreation,16.408,9.526,7.311,9.254,10.602,10.141,14.078,20.02,14.811,11.458,13.43,-19.344,3.905,0.662,-21.759,-19.198,-24.76,-43.017,-45.844,-46.535,-89.059,-90.248,-91.199,-93.408,-93.566,-89.455,-89.712,-89.298,-88.988,-90.107,-89.048,-91.654,-87.579,-87.445,-87.349,-87.229,-88.286,-85.88,-88.728,-88.211,-89.085,-92.912,-88.8
AR,Buenos Aires,Transit stations,12.845,8.438,5.887,9.628,9.608,12.422,15.317,19.124,11.427,21.461,14.241,-0.513,10.642,8.272,-17.014,-13.692,-21.727,-37.498,-43.086,-45.398,-81.873,-81.482,-83.125,-89.585,-89.679,-81.942,-82.513,-81.893,-80.14,-82.455,-83.574,-88.009,-81.215,-81.063,-79.448,-77.399,-79.645,-79.098,-76.813,-75.995,-78.647,-85.805,-74.445
AR,Buenos Aires,Workplace,-0.853,-8.73,10.542,11.82,11.534,10.324,11.786,-0.169,-10.891,11.712,13.988,9.422,12.046,11.823,-11.119,-17.765,-8.295,-24.843,-34.141,-39.566,-77.318,-70.14,-69.006,-89.582,-89.661,-80.574,-81.297,-80.192,-71.338,-68.956,-82.069,-88.529,-79.132,-79.557,-78.064,-68.162,-66,-77.437,-77.459,-76.738,-80.808,-87.715,-66.664
AR,Buenos Aires Province,Grocery & pharmacy,4.118,0.781,0.818,4.335,0.266,5.574,7.672,7.563,1.35,3.031,9.396,-16.447,11.299,9.614,-0.134,18.361,7.108,-10.69,-9.7,14.013,-35.86,-47.451,-60.892,-63.035,-61.706,-47.671,-49.423,-45.773,-47.324,-59.517,-51.677,-56.187,-46.582,-42.532,-39.774,-40.887,-52.844,-40.533,-26.935,-25.938,-26.332,-51.665,-33.226
AR,Buenos Aires Province,Parks,-11.381,-15.706,-12.01,-11.271,-3.982,-15.023,-13.684,-14.261,-22.913,-24.081,-18.223,-42.711,-20.889,-24.509,-54.304,-46.883,-43.091,-62.185,-52.357,-57.434,-82.461,-87.671,-92.193,-90.173,-90.077,-84.386,-86.269,-84.288,-86.664,-91.343,-85.769,-87.786,-82.652,-83.287,-81.352,-83.864,-89.242,-80.629,-75.776,-72.075,-78.236,-85.97,-82.553
AR,Buenos Aires Province,Residential,1.216,2.024,-1.128,-0.953,-1.69,-0.885,-1.51,0.819,2.193,-0.144,-1.555,1.848,-1.59,-1.551,8.884,8.097,5.562,10.863,11.415,11.852,30.05,28.079,26.148,32.582,32.153,28.798,31.138,33.199,28.941,25.983,29.551,31.256,27.837,29.831,31.744,27.71,24.791,27.033,26.261,25.014,28.521,35.559,27.497
AR,Buenos Aires Province,Retail & recreation,2.586,-6.736,-5.063,-4.045,-5.739,-0.501,3.95,2.439,-3.309,-4.993,0.188,-27.77,-5.008,-7.516,-26.735,-32.07,-29.551,-43.395,-43.551,-38.715,-78.144,-83.254,-88.642,-88.548,-88.32,-82.579,-82.885,-81.234,-82.617,-87.689,-82.73,-84.931,-80.286,-78.337,-77.371,-78.513,-84.316,-75.961,-82.73,-82.38,-83.264,-89.391,-85.436
