Country,category,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05
AR,Grocery & pharmacy,-6,-8,3,0,-0,4,5,8,-16,-17,2,-0,2,5,3,4,5,3,4,8,7,4,5,8,-7,8,10,5,17,8,-11,-11,5,-40,-49,-61,-64,-64,-50,-52,-49,-48,-61,-51,-59,-46,-47,-41,-41,-54
AR,Parks,-14,-23,-2,10,-8,-9,4,18,26,1,5,-5,-8,-8,-11,-8,-6,-1,-9,-7,-10,-12,-9,-9,-24,-16,-17,-40,-44,-39,-54,-49,-55,-80,-85,-90,-88,-88,-82,-84,-82,-84,-89,-83,-85,-79,-81,-78,-81,-87
AR,Residential,2,1,-1,-2,-1,-1,0,0,6,7,-2,-0,-1,1,2,-1,-1,-2,-1,-2,1,2,-1,-2,0,-1,-1,7,9,6,11,12,13,29,28,27,32,31,28,30,32,29,27,28,30,27,29,31,27,26
AR,Retail & recreation,-6,-10,3,1,0,3,6,14,-10,-20,1,-1,3,5,-3,1,0,-1,1,6,5,3,1,3,-16,-4,-5,-19,-29,-27,-41,-43,-42,-78,-83,-87,-88,-88,-82,-83,-81,-82,-86,-81,-85,-79,-79,-77,-77,-83
AR,Transit stations,-2,-2,9,8,7,9,7,5,-27,-28,9,8,8,6,1,7,8,8,10,12,8,3,13,14,-6,10,7,-19,-17,-17,-32,-35,-35,-72,-75,-81,-85,-85,-77,-77,-75,-75,-80,-77,-82,-75,-74,-71,-71,-76
AR,Workplaces,-4,7,9,11,9,9,-1,-2,-54,-50,13,12,13,2,-2,16,16,18,18,18,3,-2,15,18,15,18,18,-4,-10,1,-12,-19,-24,-61,-57,-58,-79,-79,-68,-68,-67,-59,-57,-68,-76,-64,-64,-62,-54,-52
AU,Grocery & pharmacy,5,0,-2,-1,1,4,4,4,1,-1,-0,1,6,6,7,5,7,12,9,14,12,8,3,9,8,11,17,20,24,33,35,32,25,20,11,10,17,4,2,2,2,-9,-19,-13,-13,-13,-14,-7,-14,-18
AU,Parks,9,-6,-13,-6,5,-1,10,9,-10,-8,-5,-2,-0,18,20,-1,-14,-15,-19,-6,10,14,5,-11,-2,2,-8,-15,-8,-18,-21,-15,-9,-12,-9,-11,-27,-30,-33,-23,-30,-34,-35,-35,-35,-36,-42,-41,-52,-43
AU,Residential,0,-2,-1,-1,-2,-3,-1,-0,-1,-1,-1,-1,-3,-1,-0,-0,-1,-1,-0,-2,-0,-0,4,-1,-1,-1,-1,2,2,1,3,5,5,6,7,6,8,12,14,16,17,15,13,16,18,19,20,20,17,14
AU,Retail & recreation,3,-1,-3,-1,0,3,5,3,-1,-3,-1,-0,4,6,4,-0,-2,0,-2,3,3,3,-3,-2,-1,-1,1,-1,-2,-1,-5,-7,-10,-12,-17,-18,-17,-30,-31,-34,-35,-41,-45,-39,-41,-40,-42,-40,-44,-44
AU,Transit stations,3,7,7,8,9,12,8,4,8,10,10,10,14,11,6,6,9,7,6,9,3,0,-9,6,6,6,5,-10,-13,-7,-14,-18,-22,-22,-28,-34,-36,-45,-50,-53,-53,-53,-58,-59,-59,-60,-63,-61,-61,-62
AU,Workplaces,-1,17,14,13,13,16,3,-2,17,15,14,14,17,4,-1,10,15,14,13,16,2,-2,-14,13,14,13,14,3,-1,12,5,2,-0,0,-4,-12,-6,-19,-23,-27,-26,-27,-33,-32,-36,-37,-38,-36,-33,-36
