Country,location,category,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05
AR,Argentina,Grocery & pharmacy,8.185,-15.875,-17.135,2.304,-0.404,2.075,4.685,2.873,3.958,5.09,2.898,4.236,7.63,7.222,4.425,5.438,8.046,-6.831,8.224,10.128,4.578,16.951,7.879,-11.396,-10.624,4.992,-40.436,-49.072,-61.218,-63.753,-63.569,-50.052,-52.21,-48.609,-47.999,-60.955,-51.498,-58.58,-46.459,-46.744,-41.299,-41.124,-53.837
AR,Argentina,Parks,17.563,25.605,1.325,5.399,-5.267,-7.859,-7.582,-10.518,-8.264,-6.241,-0.579,-8.884,-6.797,-9.604,-12.354,-9.125,-8.646,-24.127,-15.55,-17.125,-40.463,-43.747,-39.431,-53.747,-48.792,-54.943,-80.027,-85.378,-89.944,-88.343,-87.983,-82.431,-83.698,-81.859,-84.324,-89.15,-83.033,-85.313,-79.491,-81.161,-78.211,-81.159,-86.676
AR,Argentina,Residential,0.437,6.321,6.895,-2.273,-0.493,-0.577,1.409,2.417,-1.363,-1.33,-1.916,-1.491,-1.996,1.219,2.186,-0.813,-2.092,0.207,-1.41,-1.125,7.188,8.781,6.346,10.637,12.005,12.607,29.367,28.034,27.362,31.67,31.076,28.357,30.111,32.409,28.839,27.369,28.489,29.959,27.028,28.838,30.603,27.254,25.873
AR,Argentina,Retail & recreation,13.644,-9.973,-19.717,0.845,-0.584,2.877,5.265,-2.509,0.537,0.2,-0.983,0.735,6.376,5.391,3.013,1.373,2.687,-15.515,-4.239,-4.731,-18.762,-29.345,-26.9,-40.83,-42.791,-42.199,-78.483,-82.642,-87.281,-87.824,-87.856,-82.419,-82.748,-81.227,-81.711,-86.48,-81.158,-84.535,-78.877,-78.947,-76.75,-77.294,-82.974
AR,Argentina,Transit stations,5.334,-26.785,-28.485,9.461,7.983,7.973,5.595,0.944,6.931,8.202,7.567,10.191,12.04,8.476,2.63,13.178,13.621,-6.097,10.392,7.288,-19.48,-17.249,-16.545,-31.844,-34.599,-35.079,-72.116,-75.409,-81.019,-84.974,-84.972,-76.76,-77.253,-75.292,-75.465,-80.396,-77.265,-81.632,-74.806,-73.954,-71.108,-70.592,-75.91
AR,Argentina,Workplaces,-2.486,-53.687,-50.053,12.584,12.407,12.857,2.156,-2.36,16.164,16.192,17.953,17.557,18.163,2.756,-2.325,14.688,18.222,15.189,18.187,18.21,-3.851,-9.812,0.894,-11.995,-18.855,-24.291,-60.537,-57.28,-57.88,-79.097,-79.293,-67.967,-68.171,-66.728,-59.253,-57.303,-68.314,-76.378,-64.188,-64.492,-62.009,-53.548,-52.12
AU,Australia,Grocery & pharmacy,4.283,0.807,-0.769,-0.263,1.369,5.717,6.102,7.434,4.658,7.375,12.463,9.132,14.217,12.235,8.191,3.112,8.625,8.26,10.845,17.257,19.701,23.875,33.359,34.723,31.793,25.082,20.021,10.704,9.716,17.435,4.095,1.905,1.699,2.206,-8.503,-18.732,-12.772,-13.433,-12.942,-13.5,-7.116,-14.126,-18.11
AU,Australia,Parks,8.616,-9.507,-8.38,-5.036,-1.533,-0.464,17.769,19.68,-0.576,-14.005,-15.141,-18.612,-6.468,9.747,13.52,5.013,-11.428,-1.633,2.169,-8.233,-15.375,-7.679,-17.606,-20.614,-14.65,-8.968,-12.096,-9.065,-10.81,-27.17,-30.187,-32.841,-23.22,-30.104,-33.523,-34.655,-35.123,-34.698,-36.474,-41.937,-41.345,-52.364,-42.611
AU,Australia,Residential,-0.263,-1.447,-1.334,-1.139,-1.407,-2.66,-1.014,-0.488,-0.446,-1.45,-0.693,-0.383,-2.163,-0.082,-0.155,3.989,-0.71,-0.673,-0.755,-0.811,2.207,2.445,1.143,3.015,4.703,5.473,5.649,6.702,6.436,7.885,12.372,14.373,15.915,16.705,14.773,13.283,16.216,17.812,18.871,20.021,20.053,17.207,14.319
AU,Australia,Retail & recreation,3.354,-0.815,-2.52,-0.574,-0.396,3.968,6.399,3.706,-0.487,-1.669,0.35,-2.032,3.224,3.457,3.144,-3.066,-2.471,-1.288,-1.38,0.648,-0.597,-2.029,-1.461,-5.142,-6.542,-10.245,-11.558,-16.562,-18.342,-17.046,-30.031,-30.942,-34.244,-35.483,-40.954,-44.894,-39.373,-40.52,-39.835,-42.216,-39.945,-44.287,-44.063
AU,Australia,Transit stations,4.062,7.875,10.086,9.637,10.31,13.725,10.955,5.534,5.854,9.052,6.519,6.129,9.36,2.708,0.48,-9.266,6.054,5.57,5.811,4.779,-10.157,-12.671,-7.242,-13.586,-18.331,-21.507,-22.129,-27.716,-33.682,-35.834,-44.736,-49.861,-52.948,-52.921,-53.205,-58.146,-58.569,-59.484,-60.453,-62.538,-60.718,-61.159,-61.992
AU,Australia,Workplaces,-1.661,17.275,14.661,13.935,14.167,16.627,3.993,-0.985,10.245,15.05,13.897,13.498,15.623,2.357,-1.806,-14.363,13.436,13.547,13.109,14.473,3.046,-1.464,12.331,5.292,1.676,-0.307,0.319,-4.421,-11.581,-5.813,-18.673,-22.719,-26.989,-26.425,-26.807,-32.674,-31.95,-36.243,-37.204,-38.217,-35.96,-33.263,-36.081
BR,Brazil,Grocery & pharmacy,6.953,-6.522,-28.524,-10.696,1.512,3.196,4.746,2.943,0.62,1.876,1.756,6.607,10.908,12.602,10.501,4.847,4.859,1.832,4.261,6.591,7.365,7.002,5.898,7.186,5.247,2.356,0.169,-15.52,-33.367,-25.818,-32.918,-32.041,-28.996,-25.683,-27.321,-35.317,-26.129,-20.975,-18.55,-17.289,-13.506,-13.155,-23.591
BR,Brazil,Parks,32.326,68.676,50.735,-8.178,-10.672,-16.695,-22.699,-34.474,-25.477,-20.685,-11.154,-4.813,-6.859,-14.272,-16.689,-11.753,-11.366,-5.587,-4.992,-8.265,-15.441,-21.063,-22.876,-28.132,-28.347,-33.608,-45.186,-65.605,-74.695,-60.893,-62.376,-57.292,-53.849,-55.789,-63.669,-69.938,-55.412,-53.213,-48.425,-47.806,-52.343,-59.907,-65.529
BR,Brazil,Residential,0.778,8.125,9.672,5.739,0.871,1.056,3.063,4.526,-0.194,-0.536,-0.677,-1.631,-1.902,0.297,1.382,-1.581,-1.9,-1.422,-1.509,-1.627,1.294,2.581,1.306,3.925,7.32,10.448,13.191,16.104,17.164,19.95,21.96,22.869,22.058,22.722,18.532,16.858,19.851,19.377,19.762,19.74,20.457,16.41,14.974
BR,Brazil,Retail & recreation,4.322,-13.948,-31.478,-18.266,-8.467,-5.184,-2.599,-9.188,-6.325,-4.694,-1.061,0.101,5.815,9.263,8.293,0.886,0.439,1.166,-2.019,0.261,-1.513,-8.153,-11.098,-18.697,-24.94,-36.477,-44.509,-62.577,-72.443,-65.494,-70.654,-69.342,-68.524,-66.962,-69.588,-71.472,-61.715,-60.406,-58.41,-59.493,-60.239,-63.094,-66.841
