Country,Country code,Category,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29
UK,GB,Retail & recreation,-7,10,7,6,5,5,-4,-1,-3,-1,1,2,1,1,7,4,2,2,-1,5,-0,4,0,-2,-0,-1,-2,-10,-11,-3,-15,-21,-21,-28,-50,-56,-45,-71,-73,-74,-76,-83,-85
UK,GB,Grocery & pharmacy,-6,1,-1,-2,-2,-1,-2,-2,-1,4,-0,1,1,1,2,4,3,3,2,6,2,2,4,5,5,11,11,7,7,20,21,22,24,10,1,-14,-8,-24,-26,-28,-29,-39,-46
UK,GB,Parks,-28,24,20,8,4,10,-7,-5,-9,3,6,8,-13,-14,14,14,11,2,1,22,7,15,4,4,10,5,12,1,-1,29,6,-3,2,6,2,20,1,-14,-12,-11,-26,-54,-52
UK,GB,Transit stations,-7,-2,-3,-4,-5,-3,-2,3,-2,1,-1,0,0,-2,5,-0,-1,-2,-3,1,-1,2,-3,-4,-6,-8,-9,-15,-16,-16,-27,-34,-37,-40,-46,-46,-53,-64,-68,-70,-71,-74,-75
UK,GB,Workplace,-3,-14,-14,-14,-14,-15,-2,-1,-2,1,1,0,-1,0,1,1,1,1,0,1,1,1,0,-0,-0,-1,-4,-2,-4,-9,-16,-23,-27,-29,-25,-30,-45,-58,-64,-66,-66,-57,-55
UK,GB,Residential,1,2,2,3,3,3,1,-0,1,0,0,0,1,0,-1,0,0,1,1,0,0,-1,1,1,1,2,2,2,2,4,7,10,11,13,11,9,17,24,26,27,28,20,15
Italy,IT,Retail & recreation,3,-0,3,0,2,1,-1,-5,-4,-6,-13,-10,-8,-10,-19,-13,-7,-7,-12,-15,-19,-32,-30,-43,-52,-70,-75,-83,-90,-75,-77,-79,-79,-80,-86,-95,-80,-81,-83,-84,-83,-87,-94
Italy,IT,Grocery & pharmacy,2,1,1,-1,1,1,3,16,23,5,-5,-3,-2,-2,-5,-7,-1,1,0,0,1,3,-1,-2,-14,-23,-28,-43,-60,-37,-41,-43,-44,-40,-51,-85,-45,-48,-51,-52,-46,-54,-85
Italy,IT,Parks,26,7,16,11,18,19,30,23,22,20,-6,-1,11,2,-30,-26,-9,8,-12,-8,2,1,-24,-32,-32,-61,-64,-78,-81,-67,-68,-71,-74,-77,-85,-91,-81,-80,-82,-84,-82,-86,-90
Italy,IT,Transit stations,11,3,4,3,5,5,8,6,-15,-18,-23,-22,-20,-16,-26,-25,-21,-19,-28,-29,-24,-27,-42,-51,-57,-67,-71,-76,-80,-74,-76,-77,-78,-78,-80,-87,-81,-81,-82,-83,-82,-82,-87
Italy,IT,Workplace,1,1,1,1,1,0,-0,1,-14,-15,-12,-12,-12,-9,-5,-9,-8,-8,-16,-17,-15,-10,-24,-31,-37,-47,-53,-58,-55,-58,-61,-61,-63,-63,-63,-63,-68,-69,-70,-72,-71,-65,-63
Italy,IT,Residential,-2,-0,-0,-0,-0,-1,-1,-0,4,5,6,6,5,3,4,5,4,4,7,8,6,6,11,16,19,24,28,25,22,27,29,30,31,32,26,24,32,32,34,35,36,27,24
Spain,ES,Retail & recreation,2,-0,-2,-0,1,1,2,7,5,-2,-0,4,-1,-1,2,-3,-3,-0,-1,-2,-1,4,-1,-3,-5,-13,-33,-69,-87,-80,-83,-84,-88,-87,-92,-94,-85,-87,-87,-87,-88,-92,-94
Spain,ES,Grocery & pharmacy,3,1,0,1,1,2,2,10,3,-1,4,8,-7,4,6,1,3,4,2,2,1,7,4,18,17,27,33,-8,-49,-33,-39,-36,-58,-39,-53,-73,-46,-50,-51,-52,-49,-57,-76
Spain,ES,Parks,13,9,5,11,15,20,44,33,36,17,11,16,33,19,6,-7,-3,9,2,0,17,19,12,12,17,1,-22,-44,-76,-72,-73,-73,-77,-79,-87,-89,-77,-79,-78,-78,-80,-86,-89
