location,type,GPL_CD,GSS_CD,GSS_NM,GSS_ENTITY_CD,GSS_ENTITY_NM,16/02/2020,17/02/2020,18/02/2020,19/02/2020,20/02/2020,21/02/2020,22/02/2020,23/02/2020,24/02/2020,25/02/2020,26/02/2020,27/02/2020,28/02/2020,29/02/2020,01/03/2020,02/03/2020,03/03/2020,04/03/2020,05/03/2020,06/03/2020,07/03/2020,08/03/2020,09/03/2020,10/03/2020,11/03/2020,12/03/2020,13/03/2020,14/03/2020,15/03/2020,16/03/2020,17/03/2020,18/03/2020,19/03/2020,20/03/2020,21/03/2020,22/03/2020,23/03/2020,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020
Belfast,grocery,GGL010,N09000003,Belfast,N09,Local Government District,-4.76,-5.5,-3.04,-7.12,-2.18,-2.24,-2.82,-0.82,0.48,4.93,-0.33,2.42,2.46,-1.72,1.74,1.2,1.72,2.7,3.39,2.6,-1.02,0.81,-0.48,6.99,5.4,23.42,18.28,6.97,5.22,17.86,-6.5,7.04,8,2.74,0.86,-21.35,-13.4,-21.46,-26.6,-29.73,-28.32,-29.07,-41.76
Belfast,parks,GGL010,N09000003,Belfast,N09,Local Government District,-20.96,-0.83,6.5,-21.02,3.01,-15.65,-23,5.99,-16.53,0,-4.35,9.77,-12.93,-16.05,-7.19,-0.83,10.57,18.11,10.53,0.68,-4.82,-1.8,-19.01,10.57,-9.42,-18.05,-6.12,-28.88,-1.8,-10.75,-30.08,-8.7,-4.51,10.88,-29.41,-4.79,-27.27,-30.89,-39.85,-13.53,-43.54,-44.39,-47.31
Belfast,residential,GGL010,N09000003,Belfast,N09,Local Government District,0.56,2.04,1.77,2.67,1.8,2.32,1.49,-0.39,0.9,0.18,-0.01,-0.6,-0.42,0.26,0.09,-0.06,-0.37,-0.12,0.07,-0.56,0.07,-0.18,1.1,0.69,1.36,1.69,2.45,4.12,3.14,7.22,17.12,11.67,13.46,14.37,12.25,10.04,18.09,23.95,26.88,27.78,29.09,19.74,17.07
Belfast,retail,GGL010,N09000003,Belfast,N09,Local Government District,-1.02,7,8.49,2.63,5.79,-1.39,-5.12,0.59,0.9,-0.4,-0.51,3.07,-1.42,-1.07,3.35,2.73,5.79,5.65,2.75,-2.04,-2.75,1.91,-4.12,1.08,-2.29,-2.56,-7.96,-19.47,-17.87,-6.89,-29.59,-27.58,-30.25,-38.02,-52.35,-60.83,-49.1,-69.51,-74.06,-75.19,-76.74,-81.03,-84.76
Belfast,transit,GGL010,N09000003,Belfast,N09,Local Government District,0.54,-2.97,-3.65,-6.17,-5.11,-4.27,-5.67,9.19,-2.83,-0.84,-2.88,4.43,0.39,-3.78,0.27,-0.28,0.42,-0.27,-4.97,-4.79,-6.05,-5.95,-8.63,-8.28,-12.06,-14.65,-17.6,-28.55,-24.32,-29.28,-56.38,-41.51,-45.97,-48.77,-54.82,-53.78,-59.69,-67.6,-71.92,-73.92,-76.97,-74.29,-75.94
Belfast,workplace,GGL010,N09000003,Belfast,N09,Local Government District,2,-12.57,-12.69,-13.08,-11.52,-11.72,0.48,1.11,-1.82,0.22,0.4,0.45,0.36,-0.32,0.44,0.58,-0.06,0.28,0.06,1.37,-0.49,0,-0.76,-1.36,-1.82,-2.84,-5.53,-5.36,-5.79,-25.68,-58.95,-30.81,-32.92,-35.52,-31.82,-35.64,-49.18,-62.18,-69.07,-70.6,-71.39,-61.53,-59.47
Cardiff,grocery,GGL021,W06000015,Cardiff,W06,Unitary Authority,-6.67,0.64,-0.82,-1.4,-0.81,0.75,-2.33,-2.73,-3.61,1.23,-1.07,0.89,-3.77,3.31,2.53,1.84,4.33,1.23,5.19,6.99,-0.38,1.62,0.96,2.28,4.85,8.92,11.5,9.11,6.77,16.93,16.49,13.47,14.52,3.23,-4.82,-18.38,-16.85,-30.45,-32.71,-33.98,-32.18,-40.58,-45.05
Cardiff,parks,GGL021,W06000015,Cardiff,W06,Unitary Authority,-15.48,3.97,7.94,-11.6,-0.75,13.55,42.93,11.3,-11.9,-3.18,2.9,14.28,-19.36,-12.05,2.38,5.55,11.9,-17.4,-3.01,9.68,-3.15,14.88,-11.9,-9.53,5.07,-10.53,3.87,-1.57,-11.9,15.08,-20.63,-39.13,-33.09,-23.23,-24.61,-14.88,-24.6,-37.3,-34.78,-32.34,-43.23,-65.45,-47.62
Cardiff,residential,GGL021,W06000015,Cardiff,W06,Unitary Authority,1.11,2.01,2.12,2.71,2.61,2.54,-0.01,-0.41,1.36,0.3,-0.04,-0.29,1.44,0.74,-0.66,-0.38,0,1.07,0.61,0,0.27,-0.97,0.98,1.58,1.25,2.1,2.83,3.23,2.68,3.71,9.26,12.82,14.73,16.32,11.87,10.06,19.06,25.61,27.69,28.73,29.86,20.68,16.66
Cardiff,retail,GGL021,W06000015,Cardiff,W06,Unitary Authority,-12.98,7.46,6.59,3.39,10.35,8.79,19.89,1.24,-10.26,-8.7,-1.85,1.9,-9.96,-4.36,-1.19,8.89,3.79,-0.79,-0.62,-0.3,-8.19,-4.77,-3.54,-0.9,3.43,-6.41,-6.29,-8.59,-12.14,-7.27,-25.87,-34.8,-35.65,-44.49,-61.66,-65.51,-55.98,-76.02,-77.66,-78.42,-81.84,-87.3,-85.78
