GPL_CD,GPL_NM,GSS_CD,GSS_NM,GSS_ENTITY_CD,GSS_ENTITY_NM,REGION_CD,REGION_NM,RETAIL_AND_RECREATION,GROCERY_AND_PHARMACY,PARKS,TRANSIT_STATIONS,WORKPLACE,RESIDENTIAL
GGL001,Aberdeen City,S12000033,Aberdeen City,S12,Council Area,S92000003,Scotland,-86,-41,-46,-73,-58,30
GGL002,Aberdeenshire,S12000034,Aberdeenshire,S12,Council Area,S92000003,Scotland,-80,-46,-45,-58,-52,27
GGL003,Angus council,S12000041,Angus,S12,Council Area,S92000003,Scotland,-80,-44,-28,-51,-48,20
GGL004,Antrim And Newtownabbey,N09000001,Antrim and Newtownabbey,N09,Local Government District,N92000002,Northern Ireland,-81,-46,-61,-89,-52,29
GGL005,Ards And North Down,N09000011,Ards and North Down,N09,Local Government District,N92000002,Northern Ireland,-78,-39,-57,-57,-56,28
GGL006,Argyll and Bute Council,S12000035,Argyll and Bute,S12,Council Area,S92000003,Scotland,-88,-45,-34,-57,-52,8
GGL007,Armagh City and Banbridge And Craigavon,N09000002,"Armagh City, Banbridge and Craigavon",N09,Local Government District,N92000002,Northern Ireland,-82,-45,-66,-65,-47,27
GGL008,Bath and North East Somerset,E06000022,Bath and North East Somerset,E06,Unitary Authority,E12000009,South West,-91,-48,-54,-75,-66,30
GGL009,Bedford,E06000055,Bedford,E06,Unitary Authority,E12000006,East of England,-86,-47,-51,-72,-49,28
GGL010,Belfast,N09000003,Belfast,N09,Local Government District,N92000002,Northern Ireland,-85,-42,-47,-76,-59,17
GGL011,Blackburn with Darwen,E06000008,Blackburn with Darwen,E06,Unitary Authority,E12000002,North West,-85,-42,0,-71,-50,25
GGL012,Blackpool,E06000009,Blackpool,E06,Unitary Authority,E12000002,North West,-88,-43,-64,-65,-54,22
GGL013,Blaenau Gwent,W06000019,Blaenau Gwent,W06,Unitary Authority,W92000004,Wales,-75,-46,0,-57,-46,12
GGL014,Borough of Halton,E06000006,Halton,E06,Unitary Authority,E12000002,North West,-78,-43,-46,-60,-48,25
GGL015,Bracknell Forest,E06000036,Bracknell Forest,E06,Unitary Authority,E12000008,South East,-83,-41,-56,-69,-58,31
GGL016,Bridgend County Borough,W06000013,Bridgend,W06,Unitary Authority,W92000004,Wales,-85,-43,-48,-59,-50,25
GGL017,Brighton and Hove,E06000043,Brighton and Hove,E06,Unitary Authority,E12000008,South East,-89,-48,-59,-77,-64,30
GGL018,Buckinghamshire,E10000002,Buckinghamshire,E10,County,E12000008,South East,-85,-45,-43,-74,-57,16
GGL019,Caerphilly County Borough,W06000018,Caerphilly,W06,Unitary Authority,W92000004,Wales,-78,-41,-52,-54,-47,25
GGL020,Cambridgeshire,E10000003,Cambridgeshire,E10,County,E12000006,East of England,-87,-48,-51,-79,-54,16
GGL021,Cardiff,W06000015,Cardiff,W06,Unitary Authority,W92000004,Wales,-86,-45,-48,-79,-59,17
